Logger, TechAgentLk:         	Automatically truncated logfile to 1048576, MadelineProto 8.6.0
#5 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::throw():168}()
#6 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(567): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#7 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#8 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(171): Fiber->throw()
#9 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::throw():168}()
#10 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#11 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#12 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#13 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::resume():61}()
#14 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#15 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#16 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(502): Fiber->resume()
#17 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(558): Revolt\EventLoop\Internal\AbstractDriver->invokeCallbacks()
#18 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createLoopFiber():538}()
#19 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(96): Fiber->resume()
#20 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(117): Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::__construct():90}()
#21 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#22 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/Ipc/AbstractServer.php(177): Amp\Future->await()
#23 /tmp/madeline-ipc-8.6.0___4310934de7e256d79075.php(119): danog\MadelineProto\Ipc\AbstractServer::waitShutdown()
#24 /tmp/madeline-ipc-8.6.0___4310934de7e256d79075.php(154): {closure:/tmp/madeline-ipc-8.6.0___4310934de7e256d79075.php:35}()
#25 {main}
